Entity,Code,Year,Median
Albania,ALB,1996,7.41933012008667
Albania,ALB,2002,7.117153644561768
Albania,ALB,2005,8.300110816955566
Albania,ALB,2008,8.939032554626465
Albania,ALB,2012,8.768966674804688
Albania,ALB,2014,8.827485084533691
Albania,ALB,2015,10.687344551086426
Albania,ALB,2016,10.934011459350586
Albania,ALB,2017,10.841160774230957
Albania,ALB,2018,12.386625289916992
Albania,ALB,2019,12.356348037719727
Albania,ALB,2020,12.838601112365723
Algeria,DZA,1988,6.293221950531006
Algeria,DZA,1995,6.518008232116699
Algeria,DZA,2011,9.114275932312012
Angola,AGO,2000,5.300380229949951
Angola,AGO,2008,5.334157943725586
Angola,AGO,2018,3.8795104026794434
Argentina (urban),,1980,27.129507064819336
Argentina (urban),,1986,27.716041564941406
Argentina (urban),,1987,24.429859161376953
Argentina (urban),,1991,16.514070510864258
Argentina (urban),,1992,17.2711124420166
Argentina (urban),,1993,17.652036666870117
Argentina (urban),,1994,17.0688419342041
Argentina (urban),,1995,15.778318405151367
Argentina (urban),,1996,15.137417793273926
Argentina (urban),,1997,16.209293365478516
Argentina (urban),,1998,14.829559326171875
Argentina (urban),,1999,14.7276611328125
Argentina (urban),,2000,14.007322311401367
Argentina (urban),,2001,12.500795364379883
Argentina (urban),,2002,8.575318336486816
Argentina (urban),,2003,12.644421577453613
Argentina (urban),,2004,14.65760326385498
Argentina (urban),,2005,16.26177406311035
Argentina (urban),,2006,18.578271865844727
Argentina (urban),,2007,19.211332321166992
Argentina (urban),,2008,20.088895797729492
Argentina (urban),,2009,21.472272872924805
Argentina (urban),,2010,22.07073974609375
Argentina (urban),,2011,23.529958724975586
Argentina (urban),,2012,23.87211036682129
Argentina (urban),,2013,24.129426956176758
Argentina (urban),,2014,21.96680450439453
Argentina (urban),,2016,22.814355850219727
Argentina (urban),,2017,24.03276252746582
Argentina (urban),,2018,21.788387298583984
Argentina (urban),,2019,20.671300888061523
Argentina (urban),,2020,18.155481338500977
Argentina (urban),,2021,19.55320930480957
Argentina (urban),,2022,18.891395568847656
Argentina (urban),,2023,18.541736602783203
Argentina (urban),,2024,19.133983612060547
Armenia,ARM,1999,4.5130085945129395
Armenia,ARM,2001,4.335291385650635
Armenia,ARM,2002,4.546867370605469
Armenia,ARM,2003,4.790288925170898
Armenia,ARM,2004,5.551746368408203
Armenia,ARM,2005,6.250576972961426
Armenia,ARM,2006,6.710036277770996
Armenia,ARM,2007,7.353427410125732
Armenia,ARM,2008,7.654393196105957
Armenia,ARM,2009,6.8470354080200195
Armenia,ARM,2010,6.806525707244873
Armenia,ARM,2011,7.105484485626221
Armenia,ARM,2012,7.325222015380859
Armenia,ARM,2013,7.583237171173096
Armenia,ARM,2014,7.7391676902771
Armenia,ARM,2015,8.170164108276367
Armenia,ARM,2016,8.863737106323242
Armenia,ARM,2017,8.011298179626465
Armenia,ARM,2018,7.971968173980713
Armenia,ARM,2019,7.7172322273254395
